Identifier,CIR_11_OH_An,HIR_11_OH_An,OIR_11_OH_An,CIR_16_en,HIR_16_en,OIR_16_en,CIR_5aAdiol,HIR_5aAdiol,OIR_5aAdiol,CIR_5bAdiol,HIR_5bAdiol,OIR_5bAdiol,CIR_An,HIR_An,OIR_An,CIR_Etio,HIR_Etio,OIR_Etio,CIR_PD,HIR_PD,OIR_PD,CIR_T,HIR_T,OIR_T
C_D1_0_2,-20.397,-269.704,675.788,-21.214,-163.183,681.538,-22.161,-289.403,651.302,-22.253,-279.071,660.571,-20.428,-296.014,671.589,-21.841,-304.482,671.589,-20.477,-277.448,669.427,-21.676,-225.036,648.142
C_D1_1,-20.172,-296.414,675.836,-21.085,-265.76,669.556,-30.135,-263.044,669.441,-30.496,-251.903,669.066,-29.554,-278.412,673.226,-30.527,-283.402,673.226,-20.88,-271.273,669.266,-31.474,-279.017,675.87
C_D1_2,-20.693,-332.515,663.47,-21.16,-265.829,673.336,-30.47,-254.74,671.086,-30.472,-266.948,670.645,-29.694,-286.907,672.315,-30.018,-281.395,672.315,-20.682,-258.63,670.587,-30.512,-254.986,675.341
C_D1_3,-20.062,-290.179,670.777,-20.513,-265.817,666.748,-29.66,-245.034,665.72,-29.932,-251.88,668.604,-28.318,-283.268,680.071,-28.228,-273.796,676.825,-21.146,-252.67,676.115,-30.011,-256.67,678.343
C_D1_4,-20.35,-256.9,665.07,-20.072,-206.257,653.929,-28.562,-228.929,668.645,-28.859,-251.88,673.618,-25.1,-271.527,666.059,-26.74,-266.453,665.736,-20.887,-232.377,659.401,-28.273,-256.67,676.093
C_D2_1,-19.23,-283.347,670.038,-19.37,-206.257,-230.578,-24.859,-228.929,668.645,-27.669,-251.88,664.309,-21.368,-237.767,668.758,-24.657,-240.136,670.343,-20.404,-232.377,672.43,-28.273,-256.67,676.093
C_D2_2,-20.259,-283.347,667.678,-20.399,-206.257,-230.578,-23.023,-228.929,662.751,-26.744,-226.425,659.872,-20.804,-237.767,895.373,-23.593,-240.136,892.367,-20.585,-232.377,799.117,-22.585,-199.198,676.093
C_D2_3,-20.501,-270.356,684.372,-20.097,-230.578,-230.578,-22.315,-228.929,680.12,-26.043,-207.173,698.108,-20.59,-265.286,691.465,-23.333,-285.799,682.892,-20.646,-241.044,687.796,-21.408,-199.198,676.093
C_D2_4,-20.424,-280.352,683.668,-20.311,-249.705,-230.578,-22.799,-228.929,671.594,-25.493,-270.162,668.819,-20.822,-287.758,681.014,-22.753,-282.438,680.916,-20.993,-261.227,681.226,-21.714,-199.198,668.439
C_D3_1,-20.173,-218.79,679.854,-19.332,-254.395,-230.578,-23.948,-228.929,671.594,-24.949,-270.162,668.819,-20.677,-287.758,687.604,-22.186,-236.034,685.395,-20.48,-261.227,688.085,-23.899,-199.198,668.439
C_D3_11,-20.195,-298.297,679.854,-20.603,-254.395,-230.578,-10.57,-228.929,671.594,-25.479,-240.96,668.819,-21.973,-251.147,687.604,-24.236,-257.931,685.395,-20.717,-194.482,688.085,-26.76,-199.198,668.439
C_D3_12,-20.172,-272.656,679.854,-20.331,-254.395,-230.578,-10.653,-228.929,671.594,-26.881,-254.065,668.819,-21.896,-282.099,687.604,-24.104,-272.139,685.395,-20.915,-236.922,688.085,-25.491,-237.053,668.439
C_D3_3,-20.209,-232.699,683.587,-20.779,-254.395,-254.395,-21.958,-237.94,679.758,-23.185,-263.67,679.72,-20.602,-284.77,685.727,-22.048,-271.286,682.036,-21.116,-223.818,683.115,-22.564,-237.053,689.683
